Station ID,City,State,decimal_latitude,decimal_longitude,geopy_time_zone
8551910,Reedy Point,DE,39.55833333,-75.57166667,Unknown
8555889,Brandywine Shoal Light,DE,38.98666667,-75.11333333,Unknown
8557380,Lewes,DE,38.78333333,-75.12,Unknown
8594900,Washington,DC,38.87333333,-77.02166667,Unknown
8720030,Fernandina Beach,FL,30.67166667,-81.46666667,Unknown
8720218,Mayport (Bar Pilots Dock),FL,30.39833333,-81.42833333,Unknown
8720219,Dames Point,FL,30.38666667,-81.55833333,Unknown
8720226,"Southbank Riverwalk, St Johns River",FL,30.32,-81.65833333,Unknown
8720357,I-295 Buckman Bridge,FL,30.19166667,-81.69,Unknown
8721604,"Trident Pier, Port Canaveral",FL,28.415,-80.59333333,Unknown
8722670,"Lake Worth Pier, Atlantic Ocean",FL,26.61333333,-80.035,Unknown
8722956,South Port Everglades,FL,26.08166667,-80.11666667,Unknown
8723214,"Virginia Key, Biscayne Bay",FL,25.73166667,-80.16166667,Unknown
8723970,"Vaca Key, Florida Bay",FL,24.71166667,-81.10666667,Unknown
8724580,Key West,FL,24.555,-81.80833333,Unknown
8725110,"Naples, Gulf of Mexico",FL,26.13166667,-81.80833333,Unknown
8725520,Fort Myers,FL,26.64833333,-81.87166667,Unknown
8726384,Port Manatee,FL,27.63833333,-82.56166667,Unknown
8726520,"St. Petersburg, Tampa Bay",FL,27.76166667,-82.62666667,Unknown
8726607,Old Port Tampa,FL,27.85833333,-82.55333333,Unknown
8726674,East Bay,FL,27.92333333,-82.42166667,Unknown
8726724,Clearwater Beach,FL,27.97833333,-82.83166667,Unknown
8727520,Cedar Key,FL,29.135,-83.03166667,Unknown
8728690,Apalachicola,FL,29.725,-84.98,Unknown
8729108,Panama City,FL,30.15,-85.665,Unknown
8729210,Panama City Beach,FL,30.21333333,-85.87833333,Unknown
8729840,Pensacola,FL,30.405,-87.21166667,Unknown
8670870,Fort Pulaski,GA,32.035,-80.90333333,Unknown
8679598,Kings Bay MSF Pier,GA,30.77833333,-81.49166667,Unknown
9044020,Gibraltar,MI,42.09166667,-83.18666667,Unknown
9044030,Wyandotte,MI,42.20166667,-83.14666667,Unknown
9044036,Fort Wayne,MI,42.29833333,-83.09333333,Unknown
9044049,Windmill Point,MI,42.35833333,-82.93,Unknown
9063020,Buffalo,NY,42.87666667,-78.89,Unknown
9063028,Sturgeon Point,NY,42.69166667,-79.04666667,Unknown
9063038,"Erie, Lake Erie",PA,42.15333333,-80.075,Unknown
9063053,Fairport,OH,41.76,-81.28166667,Unknown
9063063,Cleveland,OH,41.54166667,-81.635,Unknown
9063079,Marblehead,OH,41.54333333,-82.73166667,Unknown
9063085,Toledo,OH,41.69333333,-83.47166667,Unknown
9063090,Fermi Power Plant,MI,41.96,-83.25666667,Unknown
9075002,Lakeport,MI,43.14,-82.49333333,Unknown
9075014,Harbor Beach,MI,43.84666667,-82.64333333,Unknown
9075035,Essexville,MI,43.64166667,-83.84666667,Unknown
9075065,Alpena,MI,45.06333333,-83.42833333,Unknown
9075080,Mackinaw City,MI,45.77666667,-84.72166667,Unknown
9075099,De Tour Village,MI,45.99166667,-83.89833333,Unknown
9087023,Ludington,MI,43.94666667,-86.44166667,Unknown
9087031,Holland,MI,42.77333333,-86.21333333,Unknown
9087044,Calumet Harbor,IL,41.73,-87.53833333,Unknown
9087057,Milwaukee,WI,43.00166667,-87.88833333,Unknown
9087068,"Kewaunee, Lake Michigan",WI,44.46333333,-87.51166667,Unknown
9087072,Sturgeon Bay Canal,WI,44.795,-87.31333333,Unknown
9087077,Green Bay East,WI,44.53833333,-88.00166667,Unknown
9087088,Menominee,MI,45.09666667,-87.59,Unknown
9087096,Port Inland,MI,45.97,-85.87166667,Unknown
9052000,Cape Vincent,NY,44.13,-76.33166667,Unknown
9052030,Oswego,NY,43.465,-76.51166667,Unknown
9052058,Rochester,NY,43.26833333,-77.625,Unknown
9052076,Olcott,NY,43.33833333,-78.72666667,Unknown
9034052,St Clair Shores,MI,42.47333333,-82.88,Unknown
9099004,Point Iroquois,MI,46.485,-84.63166667,Unknown
9099018,Marquette C.G.,MI,46.545,-87.37833333,Unknown
9099044,Ontonagon,MI,46.875,-89.32333333,Unknown
9099064,Duluth,MN,46.775,-92.09166667,Unknown
9099090,"Grand Marais, Lake Superior",MN,47.74833333,-90.34166667,Unknown
9063007,Ashland Ave,NY,43.1,-79.06,Unknown
9063009,American Falls,NY,43.08166667,-79.06166667,Unknown
9063012,Niagara Intake,NY,43.07666667,-79.01333333,Unknown
9014070,Algonac,MI,42.62166667,-82.52666667,Unknown
9014080,St. Clair State Police,MI,42.81166667,-82.485,Unknown
9014087,Dry Dock,MI,42.945,-82.44333333,Unknown
9014090,Mouth of the Black River,MI,42.975,-82.41833333,Unknown
9014095,"Port Huron, North of Blue Water Bridge",MI,43.00166667,-82.42333333,Unknown
9014098,Fort Gratiot,MI,43.00666667,-82.42166667,Unknown
8311030,Ogdensburg,NY,44.69833333,-75.49833333,Unknown
8311062,Alexandria Bay,NY,44.33166667,-75.935,Unknown
9076024,Rock Cut,MI,46.265,-84.19166667,Unknown
9076027,West Neebish Island,MI,46.285,-84.21,Unknown
9076033,Little Rapids,MI,46.485,-84.30166667,Unknown
9076060,U.S. Slip,MI,46.5,-84.34,Unknown
9076070,"S.W. Pier, St. Marys River",MI,46.50166667,-84.37333333,Unknown
1611400,Nawiliwili,HI,21.955,-159.3566667,Unknown
1612340,Honolulu,HI,21.30333333,-157.865,Unknown
1612401,Pearl Harbor,HI,21.36666667,-157.9633333,Unknown
1612480,Mokuoloe,HI,21.43333333,-157.79,Unknown
1615680,"Kahului, Kahului Harbor",HI,20.895,-156.4683333,Unknown
1617433,Kawaihae,HI,20.03666667,-155.83,Unknown
1617760,"Hilo, Hilo Bay, Kuhio Bay",HI,19.73,-155.06,Unknown
8760721,Pilottown,LA,29.18,-89.25833333,Unknown
8760922,"Pilots Station East, S.W. Pass",LA,28.93166667,-89.40666667,Unknown
8761305,Shell Beach,LA,29.86833333,-89.67333333,Unknown
8761724,Grand Isle,LA,29.26333333,-89.95666667,Unknown
8761927,New Canal Station,LA,30.02666667,-90.11333333,Unknown
8761955,Carrollton,LA,29.93333333,-90.135,Unknown
8762075,"Port Fourchon, Belle Pass",LA,29.115,-90.2,Unknown
8762482,"West Bank 1, Bayou Gauche",LA,29.78833333,-90.42,Unknown
8764044,"Berwick, Atchafalaya River",LA,29.66833333,-91.23833333,Unknown
8764227,"LAWMA, Amerada Pass",LA,29.45,-91.33833333,Unknown
8764314,"Eugene Island, North of, Atchafalaya Bay",LA,29.36666667,-91.38333333,Unknown
8766072,Freshwater Canal Locks,LA,29.55166667,-92.305,Unknown
8767816,Lake Charles,LA,30.22333333,-93.22166667,Unknown
8767961,Bulk Terminal,LA,30.19,-93.3,Unknown
8768094,Calcasieu Pass,LA,29.76833333,-93.34333333,Unknown
8410140,Eastport,ME,44.905,-66.98333333,Unknown
8411060,Cutler Farris Wharf,ME,44.65666667,-67.205,Unknown
8413320,Bar Harbor,ME,44.39166667,-68.205,Unknown
8418150,Portland,ME,43.65833333,-70.245,Unknown
8419870,Seavey Island,ME,43.08,-70.74166667,Unknown
8570283,Ocean City Inlet,MD,38.32833333,-75.09166667,Unknown
8571421,Bishops Head,MD,38.22,-76.03833333,Unknown
8571892,Cambridge,MD,38.57166667,-76.06166667,Unknown
8573364,Tolchester Beach,MD,39.21333333,-76.245,Unknown
8573927,Chesapeake City,MD,39.52666667,-75.81,Unknown
8574680,Baltimore,MD,39.27,-76.57833333,Unknown
8575512,Annapolis,MD,38.98333333,-76.48166667,Unknown
8577330,Solomons Island,MD,38.31666667,-76.45,Unknown
8443970,Boston,MA,42.35333333,-71.05,Unknown
8447386,Fall River,MA,41.705,-71.16333333,Unknown
8447435,Chatham,MA,41.68833333,-69.95166667,Unknown
8447636,New Bedford Harbor,MA,41.62166667,-70.91333333,Unknown
8447930,Woods Hole,MA,41.52333333,-70.67166667,Unknown
8449130,Nantucket Island,MA,41.285,-70.09666667,Unknown
8741533,Pascagoula NOAA Lab,MS,30.36833333,-88.56333333,Unknown
8747437,Bay Waveland Yacht Club,MS,30.32666667,-89.325,Unknown
8531680,Sandy Hook,NJ,40.46666667,-74.01,Unknown
8534720,Atlantic City,NJ,39.35666667,-74.41833333,Unknown
8536110,Cape May,NJ,38.96833333,-74.96,Unknown
8537121,Ship John Shoal,NJ,39.305,-75.37666667,Unknown
8539094,"Burlington, Delaware River",NJ,40.08166667,-74.87,Unknown
8510560,Montauk,NY,41.04833333,-71.96,Unknown
8516945,Kings Point,NY,40.81,-73.765,Unknown
8518750,The Battery,NY,40.7,-74.015,Unknown
8518962,Turkey Point Hudson River NERRS,NY,42.015,-73.94,Unknown
8519483,Bergen Point West Reach,NY,40.63833333,-74.14666667,Unknown
8651370,Duck,NC,36.18333333,-75.74666667,Unknown
8652587,Oregon Inlet Marina,NC,35.795,-75.54833333,Unknown
8654467,USCG Station Hatteras,NC,35.20833333,-75.705,Unknown
8656483,"Beaufort, Duke Marine Lab",NC,34.71833333,-76.67166667,Unknown
8658120,Wilmington,NC,34.22666667,-77.95333333,Unknown
8658163,Wrightsville Beach,NC,34.21333333,-77.78666667,Unknown
9431647,Port Orford,OR,42.73833333,-124.4983333,Unknown
9432780,Charleston,OR,43.345,-124.3216667,Unknown
9435380,South Beach,OR,44.625,-124.045,Unknown
9437540,Garibaldi,OR,45.555,-123.9183333,Unknown
9439040,Astoria,OR,46.20666667,-123.7683333,Unknown
9439099,Wauna,OR,46.16,-123.405,Unknown
9439201,St Helens,OR,45.865,-122.7966667,Unknown
1619910,"Sand Island, Midway Islands",Pacific Islands,28.21166667,-177.36,Unknown
1630000,"Apra Harbor, Guam",Pacific Islands,13.44333333,144.6566667,Unknown
1631428,"Apra Harbor, Guam",Pacific Islands,13.42833333,144.7983333,Unknown
1770000,"Pago Pago, American Samoa",Pacific Islands,-14.28,-170.69,Unknown
1820000,"Kwajalein, Marshall Islands",Pacific Islands,8.731666667,167.7366667,Unknown
1890000,"Wake Island, Pacific Ocean",Pacific Islands,19.29,166.6183333,Unknown
8540433,Marcus Hook,PA,39.81166667,-75.41,Unknown
8545240,Philadelphia,PA,39.93333333,-75.14166667,Unknown
8546252,Bridesburg,PA,39.98,-75.08,Unknown
8548989,Newbold,PA,40.13666667,-74.75166667,Unknown
8452660,Newport,RI,41.505,-71.32666667,Unknown
8452944,Conimicut Light,RI,41.71666667,-71.345,Unknown
8454000,Providence,RI,41.80666667,-71.4,Unknown
8454049,Quonset Point,RI,41.58666667,-71.41,Unknown
8661070,Springmaid Pier,SC,33.655,-78.91666667,Unknown
8665530,Charleston,SC,32.775,-79.92333333,Unknown
8770475,Port Arthur,TX,29.86666667,-93.93,Unknown
8770520,Rainbow Bridge,TX,29.98166667,-93.885,Unknown
8770613,"Morgans Point, Barbours Cut",TX,29.68166667,-94.985,Unknown
8770777,Manchester,TX,29.72666667,-95.265,Unknown
8770808,High Island,TX,29.595,-94.39,Unknown
8770822,"Texas Point, Sabine Pass",TX,29.69,-93.84166667,Unknown
8770971,Rollover Pass,TX,29.515,-94.51333333,Unknown
8771013,"Eagle Point, Galveston Bay",TX,29.48166667,-94.91666667,Unknown
8771341,"Galveston Bay Entrance, North Jetty",TX,29.35666667,-94.725,Unknown
8771367,Sabine Offshore Light,TX,29.46833333,-93.72,Unknown
8771450,Galveston Pier 21,TX,29.31,-94.79333333,Unknown
8771486,Galveston Railroad Bridge,TX,29.30333333,-94.89666667,Unknown
8771972,San Luis Pass,TX,29.08,-95.13,Unknown
8772471,Freeport Harbor,TX,28.935,-95.295,Unknown
8773037,Seadrift,TX,28.40666667,-96.71166667,Unknown
8773146,Matagorda City,TX,28.71,-95.91333333,Unknown
8773259,Port Lavaca,TX,28.64,-96.61,Unknown
8773701,Port O'Connor,TX,28.45166667,-96.38833333,Unknown
8773767,Matagorda Bay Entrance Channel,TX,28.42666667,-96.33,Unknown
8774230,Aransas Wildlife Refuge,TX,28.22833333,-96.795,Unknown
8774770,Rockport,TX,28.02166667,-97.04666667,Unknown
8775132,La Quinta Channel North,TX,27.88,-97.28666667,Unknown
8775222,Viola Turning Basin,TX,27.84666667,-97.52,Unknown
8775237,Port Aransas,TX,27.84,-97.07333333,Unknown
8775241,"Aransas, Aransas Pass",TX,27.83666667,-97.03833333,Unknown
8775244,Nueces Bay,TX,27.83333333,-97.48666667,Unknown
8775283,"Enbridge, Ingleside",TX,27.81833333,-97.20833333,Unknown
8775296,"USS Lexington, Corpus Christi Bay",TX,27.81166667,-97.39,Unknown
8775792,Packery Channel,TX,27.63333333,-97.23666667,Unknown
8776139,S. Bird Island,TX,27.485,-97.31833333,Unknown
8776604,Baffin Bay,TX,27.29666667,-97.405,Unknown
8777812,Rincon Del San Jose,TX,26.80166667,-97.47,Unknown
8778490,Port Mansfield,TX,26.55833333,-97.425,Unknown
8779280,Realitos Peninsula,TX,26.26166667,-97.285,Unknown
8779748,South Padre Island CG Station,TX,26.07166667,-97.16666667,Unknown
8779749,SPI Brazos Santiago,TX,26.06666667,-97.155,Unknown
8779770,Port Isabel,TX,26.06166667,-97.215,Unknown
8631044,Wachapreague,VA,37.60833333,-75.685,Unknown
8632200,Kiptopeke,VA,37.165,-75.98833333,Unknown
8635027,Dahlgren,VA,38.32,-77.03666667,Unknown
8635750,Lewisetta,VA,37.99666667,-76.465,Unknown
8636580,Windmill Point,VA,37.615,-76.29,Unknown
8637689,Yorktown USCG Training Center,VA,37.22666667,-76.47833333,Unknown
8638610,Sewells Point,VA,36.94333333,-76.32833333,Unknown
8638901,"CBBT, Chesapeake Channel",VA,37.03333333,-76.08333333,Unknown
8639348,Money Point,VA,36.77833333,-76.30166667,Unknown
9440083,Vancouver,WA,45.63166667,-122.695,Unknown
9440357,TEMCO Kalama Terminal,WA,45.98333333,-122.835,Unknown
9440422,Longview,WA,46.10666667,-122.955,Unknown
9440569,Skamokawa,WA,46.27,-123.4566667,Unknown
9440581,Cape Disappointment,WA,46.28166667,-124.0466667,Unknown
9440910,Toke Point,WA,46.70833333,-123.9666667,Unknown
9441102,Westport,WA,46.905,-124.105,Unknown
9442396,"La Push, Quillayute River",WA,47.91333333,-124.635,Unknown
9443090,Neah Bay,WA,48.37,-124.6016667,Unknown
9444090,Port Angeles,WA,48.125,-123.44,Unknown
9444900,Port Townsend,WA,48.11166667,-122.76,Unknown
9445958,Bremerton,WA,47.56166667,-122.6233333,Unknown
9446484,Tacoma,WA,47.27,-122.4133333,Unknown
9447130,Seattle,WA,47.60333333,-122.34,Unknown
9449424,Cherry Point,WA,48.86333333,-122.7583333,Unknown
9449880,Friday Harbor,WA,48.545,-123.0133333,Unknown
